0	408	391	653	488	375	485	254	327	225	507	498	428	754	198	535
408	0	168	211	406	357	465	466	223	214	353	130	514	259	304	279
391	168	0	330	519	471	578	511	323	167	538	312	672	357	342	451
653	211	330	0	468	518	546	631	371	511	372	135	711	104	464	292
488	406	519	468	0	154	81	346	198	473	109	383	246	570	295	195
375	357	471	518	154	0	114	180	153	394	265	364	157	619	177	341
485	465	578	546	81	114	0	275	230	504	190	458	168	648	290	271
254	466	511	631	346	180	275	0	302	388	482	473	183	733	173	466
327	223	323	371	198	153	230	302	0	294	200	218	311	460	136	222
225	214	167	511	473	394	504	388	294	0	491	328	529	484	215	508
507	353	538	372	109	265	190	482	200	491	0	263	356	474	312	98
498	130	312	135	383	364	458	473	218	328	263	0	522	250	311	182
428	514	672	711	246	157	168	183	311	529	356	522	0	777	318	437
754	259	357	104	570	619	648	733	460	484	474	250	777	0	566	393
198	304	342	464	295	177	290	173	136	215	312	311	318	566	0	354
535	279	451	292	195	341	271	466	222	508	98	182	437	393	354	0
